date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:08	94092/94092	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2020:54:34%20GMT	https://uksdc.org/	C:/My%20Web%20Sites/xd/uksdc.org/index.html	(from )
21:54:08	44/44	---M-Z	200	added ('OK')	text/plain	etag:W/%2218-5ad1788e33d00%22	https://uksdc.org/robots.txt		(from )
21:54:08	4523/4523	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2010%20Jan%202024%2020:54:35%20GMT	https://uksdc.org/xmlrpc.php	C:/My%20Web%20Sites/xd/uksdc.org/xmlrpc.php	(from https://uksdc.org/)
21:54:08	7213/7213	---M--	200	added ('OK')	image/png	etag:%221c2d-5777e3f87c3c0%22	https://uksdc.org/wp-content/uploads/ISSDC-2-1-150x150.png	C:/My%20Web%20Sites/xd/uksdc.org/wp-content/uploads/ISSDC-2-1-150x150.png	(from https://uksdc.org/)
21:54:09	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-60e981b68149d-gzip%22	https://uksdc.org/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.23	C:/My%20Web%20Sites/xd/uksdc.org/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor4a8b.css	(from https://uksdc.org/)
21:54:09	19571/19571	---M-Z	200	added ('OK')	text/css	etag:%224c73-60e981b1c4e01-gzip%22	https://uksdc.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.25.0	C:/My%20Web%20Sites/xd/uksdc.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7bb8.css	(from https://uksdc.org/)
21:54:09	772/772	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227b6344c7ec9bac6d77aa1fc8dbd09346%22	https://uksdc.org/comments/feed/	C:/My%20Web%20Sites/xd/uksdc.org/comments/feed/index.html	(from https://uksdc.org/)
21:54:09	170983/170983	---M-Z	200	added ('OK')	text/css	etag:%2229be7-60e981b17a2ae-gzip%22	https://uksdc.org/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.18.3	C:/My%20Web%20Sites/xd/uksdc.org/wp-content/plugins/elementor/assets/css/frontend.minf3b2.css	(from https://uksdc.org/)
21:54:10	12876/12876	---M-Z	200	added ('OK')	text/css	etag:%22324c-60e981b210123-gzip%22	https://uksdc.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/xd/uksdc.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://uksdc.org/)
21:54:10	1157/1157	---M-Z	200	added ('OK')	text/css	etag:%22485-60e982569b7ef-gzip%22	https://uksdc.org/wp-content/uploads/elementor/css/post-7171.css?ver=1704896485	C:/My%20Web%20Sites/xd/uksdc.org/wp-content/uploads/elementor/css/post-717191a1.css	(from https://uksdc.org/)
